year,industry_code,industry,employees,total_monthly,regular_monthly,total_hours,regular_hours,source_release,tsic_version,employment_share,regular_hourly,total_hourly,real_regular_monthly,real_total_monthly,real_regular_hourly,real_total_hourly,cpi_2024_100
2020,H,transportation_storage,299618.0000000000,55097.0000000000,44491.0000000000,172.2000000000,163.7000000000,2020,10,0.0376636703,271.7837507636,319.9593495935,48912.4634902831,60572.4753528607,298.7933017122,351.7565351502,90.9604563443
2020,I,accommodation_food,476322.0000000000,35018.0000000000,31910.0000000000,157.4000000000,153.6000000000,2020,10,0.0598763585,207.7473958333,222.4777636595,35081.1784400201,38498.0478411978,228.3930888022,244.5873433367,90.9604563443
2020,J,information_communication,237945.0000000000,74041.0000000000,60807.0000000000,162.9000000000,161.2000000000,2020,10,0.0299110268,377.2146401985,454.5181092695,66849.9284676371,81399.1078933728,414.7017895015,499.6875868224,90.9604563443
2020,K,finance_insurance,394863.0000000000,94473.0000000000,63726.0000000000,167.1000000000,163.6000000000,2020,10,0.0496365033,389.5232273839,565.3680430880,70059.0152700946,103861.6161317460,428.2335896705,621.5536572815,90.9604563443
2020,L,real_estate,122525.0000000000,54188.0000000000,42740.0000000000,168.6000000000,165.7000000000,2020,10,0.0154020827,257.9360289680,321.3997627521,46987.4511603402,59573.1399971108,283.5694095374,353.3400948820,90.9604563443
2020,M,professional_scientific,278045.0000000000,62311.0000000000,51886.0000000000,165.8000000000,161.2000000000,2020,10,0.0349518227,321.8734491315,375.8202653800,57042.3699322745,68503.3942267656,353.8608556593,413.1688433460,90.9604563443
2020,N,support_services,403144.0000000000,37757.0000000000,34329.0000000000,180.8000000000,172.2000000000,2020,10,0.0506774717,199.3554006969,208.8329646018,37740.5758278737,41509.2464543979,219.1671070144,229.5865401239,90.9604563443
2020,P,education,72685.0000000000,27081.0000000000,24919.0000000000,126.5000000000,125.9000000000,2020,10,0.0091369139,197.9269261319,214.0790513834,27395.4210450285,29772.2780737757,217.5966723195,235.3539768678,90.9604563443
2020,Q,health_social,394076.0000000000,68709.0000000000,56606.0000000000,162.9000000000,159.2000000000,2020,10,0.0495375730,355.5653266332,421.7863720074,62231.4380061352,75537.2199760369,390.9009925008,463.7030078333,90.9604563443
2020,R,arts_recreation,70921.0000000000,40629.0000000000,37702.0000000000,158.4000000000,156.6000000000,2020,10,0.0089151692,240.7535121328,256.4962121212,41448.7806187915,44666.6624518826,264.6793142962,281.9865053780,90.9604563443
2020,S,other_services,111284.0000000000,36303.0000000000,32191.0000000000,172.4000000000,170.1000000000,2020,10,0.0139890256,189.2475014697,210.5742459397,35390.1038910274,39910.7496367298,208.0546965963,231.5008679625,90.9604563443
2021,B,mining,3416.0000000000,56098.0000000000,42321.0000000000,170.2000000000,164.3000000000,2021,11,0.0004201728,257.5836883749,329.6004700353,45627.6808000000,60481.1237333333,277.7095605600,355.3532534273,92.7529062577
2021,C,manufacturing,2858683.0000000000,57473.0000000000,40830.0000000000,175.7000000000,160.2000000000,2021,11,0.3516220010,254.8689138577,327.1087080250,44020.1840000000,61963.5570666667,274.7826716604,352.6668017454,92.7529062577
2021,D,electricity_gas,33172.0000000000,93625.0000000000,64256.0000000000,177.0000000000,165.6000000000,2021,11,0.0040802023,388.0193236715,528.9548022599,69276.5354666667,100940.2333333333,418.3365668277,570.2838041431,92.7529062577
2021,E,water_waste,34088.0000000000,45228.0000000000,36691.0000000000,169.8000000000,163.4000000000,2021,11,0.0041928716,224.5471236230,266.3604240283,39557.7901333333,48761.8144000000,242.0917388821,287.1720518257,92.7529062577
2021,F,construction,477730.0000000000,47468.0000000000,40724.0000000000,165.6000000000,161.6000000000,2021,11,0.0587614571,252.0049504950,286.6425120773,43905.9018666667,51176.8330666667,271.6949372937,309.0388470209,92.7529062577
2021,G,wholesale_retail,1704866.0000000000,51448.0000000000,41965.0000000000,158.5000000000,155.5000000000,2021,11,0.2097008987,269.8713826367,324.5930599369,45243.8653333333,55467.8037333333,290.9573333333,349.9545976866,92.7529062577
2021,H,transportation_storage,296720.0000000000,57579.0000000000,45359.0000000000,170.3000000000,162.4000000000,2021,11,0.0364969744,279.3041871921,338.1033470346,48903.0498666667,62077.8392000000,301.1271543514,364.5204885496,92.7529062577
2021,I,accommodation_food,480629.0000000000,35033.0000000000,32140.0000000000,155.8000000000,151.8000000000,2021,11,0.0591180382,211.7259552042,224.8587933248,34651.2053333333,37770.2450666667,228.2688098375,242.4277603766,92.7529062577
2021,J,information_communication,238096.0000000000,75588.0000000000,62119.0000000000,161.3000000000,159.4000000000,2021,11,0.0292861405,389.7051442911,468.6174829510,66972.5645333333,81493.9424000000,420.1541062317,505.2321289523,92.7529062577
2021,K,finance_insurance,396901.0000000000,98875.0000000000,65356.0000000000,165.6000000000,162.2000000000,2021,11,0.0488193772,402.9346485820,597.0712560386,70462.4821333333,106600.4333333333,434.4172757912,643.7224235105,92.7529062577
