row_type,year,industry_code,industry,employees,employment_share_common,normal_hours,overtime_hours,normal_pretrend_annual_change_2000_2016,normal_reform_window_annual_change_2016_2019,overtime_pretrend_annual_change_2000_2016,overtime_reform_window_annual_change_2016_2019,normal_change_vs_pretrend,overtime_change_vs_pretrend,part_time_series_requested_period,part_time_series_consistent_coverage,part_time_series_used,part_time_series_reason
annual_industry_path,2012.0000000000,G,wholesale_retail,1570202.0000000000,0.2242411805,171.0000000000,2.3000000000,,,,,,,,,,
annual_industry_path,2012.0000000000,H,transportation_storage,268695.0000000000,0.0383724412,171.0000000000,10.2000000000,,,,,,,,,,
annual_industry_path,2012.0000000000,I,accommodation_food,351668.0000000000,0.0502218488,168.9000000000,2.3000000000,,,,,,,,,,
annual_industry_path,2012.0000000000,J,information_communication,186210.0000000000,0.0265927252,166.3000000000,2.4000000000,,,,,,,,,,
annual_industry_path,2012.0000000000,K,finance_insurance,364876.0000000000,0.0521080886,164.9000000000,2.6000000000,,,,,,,,,,
annual_industry_path,2012.0000000000,L,real_estate,99010.0000000000,0.0141396580,178.4000000000,2.0000000000,,,,,,,,,,
annual_industry_path,2012.0000000000,M,professional_scientific,238658.0000000000,0.0340828452,169.0000000000,4.6000000000,,,,,,,,,,
annual_industry_path,2012.0000000000,N,support_services,337314.0000000000,0.0481719483,183.4000000000,8.9000000000,,,,,,,,,,
annual_industry_path,2012.0000000000,Q,health_social,303508.0000000000,0.0433440998,171.8000000000,2.9000000000,,,,,,,,,,
annual_industry_path,2012.0000000000,R,arts_recreation,57778.0000000000,0.0082512995,180.2000000000,2.9000000000,,,,,,,,,,
annual_industry_path,2012.0000000000,S,other_services,86014.0000000000,0.0122836940,194.0000000000,2.9000000000,,,,,,,,,,
annual_industry_path,2013.0000000000,B,mining,3873.0000000000,0.0005431991,176.8000000000,4.8000000000,,,,,,,,,,
annual_industry_path,2013.0000000000,C,manufacturing,2653842.0000000000,0.3722087416,167.8000000000,16.2000000000,,,,,,,,,,
annual_industry_path,2013.0000000000,D,electricity_gas,29508.0000000000,0.0041385793,165.3000000000,9.3000000000,,,,,,,,,,
