metric,method,scale,n_industries,year,annual_within,annual_shift,annual_interaction,annual_total,cumulative_within,cumulative_shift,cumulative_interaction,cumulative_total,cumulative_within_bootstrap_estimate_mean,cumulative_within_bootstrap_ci_lower,cumulative_within_bootstrap_ci_upper,cumulative_within_bootstrap_p_value_two_sided,cumulative_shift_bootstrap_estimate_mean,cumulative_shift_bootstrap_ci_lower,cumulative_shift_bootstrap_ci_upper,cumulative_shift_bootstrap_p_value_two_sided,cumulative_interaction_bootstrap_estimate_mean,cumulative_interaction_bootstrap_ci_lower,cumulative_interaction_bootstrap_ci_upper,cumulative_interaction_bootstrap_p_value_two_sided,cumulative_total_bootstrap_estimate_mean,cumulative_total_bootstrap_ci_lower,cumulative_total_bootstrap_ci_upper,cumulative_total_bootstrap_p_value_two_sided,valid_replications,seed,block_length,total_ci_width_exceeds_abs_cumulative_change
real_regular_monthly,laspeyres,2024_twd,16,2020,648.2252243186,110.3732478397,3.9911780412,762.5896501996,2427.0170858112,-274.9533480154,-25.9628606050,2126.1008771909,2135.2063300672,-2977.0604656400,7344.8788754741,0.4186000000,-174.4277680017,-1180.0495672155,607.4551477122,0.7394000000,-21.7968830178,-106.7428658707,51.9186093825,0.6148000000,1938.9816790477,-3514.3576729596,7561.1985286511,0.4980000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2021,-111.2330525427,40.7881190896,1.9917751775,-68.4531582756,2315.7840332685,-234.1652289258,-23.9710854274,2057.6477189153,2250.1914910158,-2999.7745521779,7606.9294468184,0.4148000000,-203.1052530758,-1285.4377807090,622.5068448175,0.7198000000,-23.5085816191,-111.2833685188,52.9893527356,0.5970000000,2023.5776563209,-3672.2590979716,7800.2769355258,0.4930000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2022,-126.0831617257,17.3271936286,-0.5562058940,-109.3121739912,2189.7008715428,-216.8380352972,-24.5272913215,1948.3355449241,2354.7996713434,-2932.4524654157,7836.4248705013,0.3956000000,-227.8070977978,-1364.1167719402,629.9211880146,0.7000000000,-24.9853424033,-117.2351223421,54.8088087210,0.5826000000,2102.0072311422,-3644.7611976589,7986.3553390802,0.4878000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2023,-116.9415709494,1.2569100998,-1.1269815092,-116.8116423589,2072.7593005933,-215.5811251974,-25.6542728307,1831.5239025652,2463.5990427823,-3008.7765302840,8101.1350384197,0.3924000000,-258.2075355381,-1449.1523754607,649.6002148457,0.6718000000,-26.6936133151,-122.6391551501,56.7707729424,0.5660000000,2178.6978939290,-3710.6178902338,8191.1100043365,0.4836000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2024,291.0310073112,-12.9448915519,-2.7149743112,275.3711414481,2363.7903079045,-228.5260167493,-28.3692471419,2106.8950440133,2569.9089702656,-3031.2212279845,8348.5304157170,0.3808000000,-293.2256647179,-1564.8909276478,658.9594802488,0.6362000000,-28.4611084508,-126.2205084079,56.3956698175,0.5536000000,2248.2221970969,-3829.8358791737,8514.6991198627,0.4832000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,10000,20260809,3,False
real_regular_monthly,paasche,2024_twd,16,2001,640.9071134109,102.5038862478,-12.1873106874,731.2236889713,640.9071134109,102.5038862478,-12.1873106874,731.2236889713,102.4023177641,-1384.8616601012,712.6959728776,0.8426000000,3.6207503612,-75.8139702354,114.3846348545,0.8562000000,0.5176804103,-21.0968823958,24.7350530039,0.9054000000,106.5407485357,-1382.0957617862,731.2236889713,0.8312000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2002,494.3642583861,-60.8222818265,6.1133511040,439.6553276636,1135.2713717970,41.6816044214,-6.0739595835,1170.8790166349,211.0916861838,-1782.3222369562,1192.7698470383,0.6690000000,5.7841502299,-131.8369305498,203.5405970555,0.8562000000,1.3510169896,-23.3106208935,25.4047237523,0.9946000000,218.2268534033,-1686.4357077579,1417.2636141446,0.7488000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2003,246.6228382375,-45.4726873668,5.0989192807,206.2490701514,1381.8942100345,-3.7910829454,-0.9750403028,1377.1280867863,326.4822654567,-1800.7474294988,1714.7785971711,0.6616000000,5.8886889112,-204.0503710169,239.1925444565,0.8524000000,1.9938627559,-21.7078293356,24.4055976741,0.9944000000,334.3648171239,-1725.4231545400,1948.6729641263,0.7428000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2004,-260.4396903404,-89.2583607467,1.8908239990,-347.8072270881,1121.4545196941,-93.0494436922,0.9157836962,1029.3208596981,430.7441750278,-1787.0362932865,2178.7548637184,0.6560000000,5.9858149217,-236.9607760287,250.2693477048,0.9864000000,2.7976213786,-23.5994545523,29.4161839239,0.8842000000,439.5276113281,-1759.9657028802,2343.1214580709,0.7354000000,10000,20260809,3,True
